eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
99,0.1,0.31,0.5,11,10,12,12,-106,90,91,92,11,0.1,0,10,4
100,0.1,0.31,0.5,11,10,11,11,-106,92,91,90,11,0.1,0,10,4
101,0.1,0.31,0.5,3,10,10,11,-108,92,91,90,11,0.1,0,10,4
102,0.1,0.31,0.5,3,10,11,12,-151,92,91,88,52,0.1,0,10,4
103,0.1,0.31,0.5,3,10,11,12,-158,92,86,90,59,0.1,0,10,4
104,0.1,0.31,0.5,3,10,12,12,-117,92,89,90,18,0.1,0,10,4
105,0.1,0.31,0.5,3,10,11,12,-114,92,89,90,15,0.1,0,10,4
106,0.1,0.31,0.5,3,10,11,12,-253,92,89,88,154,0.1,0,10,4
107,0.1,0.31,0.5,3,10,11,12,-215,92,91,89,116,0.1,0,10,4
108,0.1,0.31,0.5,3,10,11,12,-115,92,91,90,16,0.1,0,10,4
109,0.1,0.31,0.5,3,10,11,12,-181,92,91,-107,82,0.1,0,10,4
110,0.1,0.31,0.5,3,10,11,13,-255,92,89,88,156,0.1,0,10,4
111,0.1,0.31,0.5,3,10,11,12,-120,91,91,90,21,0.1,0,10,4
112,0.1,0.31,0.5,3,10,11,12,-377,92,90,90,278,0.1,0,10,4
113,0.1,0.31,0.5,3,10,11,12,-127,92,91,90,28,0.1,0,10,4
114,0.1,0.31,0.5,3,11,13,12,-319,90,87,86,220,0.1,0,10,4
115,0.1,0.31,0.5,3,12,11,12,-577,86,91,90,478,0.1,0,10,4
116,0.1,0.31,0.5,3,10,11,12,-277,92,90,90,178,0.1,0,10,4
117,0.1,0.31,0.5,3,10,11,12,-143,92,90,90,44,0.1,0,10,4
118,0.1,0.31,0.5,3,10,11,12,-279,92,90,90,180,0.1,0,10,4
119,0.1,0.31,0.5,3,10,11,12,-161,92,91,88,62,0.1,0,10,4
120,0.1,0.31,0.5,3,10,11,12,-149,92,91,90,50,0.1,0,10,4
121,0.1,0.31,0.5,3,10,11,12,-313,92,91,89,214,0.1,0,10,4
122,0.1,0.31,0.5,3,10,11,15,-172,91,91,89,73,0.1,0,10,4
123,0.1,0.31,0.5,3,10,19,12,-146,91,77,90,47,0.1,0,10,4
124,0.1,0.31,0.5,3,10,11,12,-135,92,91,88,36,0.1,0,10,4
125,0.1,0.31,0.5,3,10,11,12,-228,92,91,88,129,0.1,0,10,4
126,0.1,0.31,0.5,3,10,11,12,-117,92,91,90,18,0.1,0,10,4
