eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
97,0.1,0.31,0.5,39,35,31,30,34,19,77,90,93,88,92,93,24,0.1,1,10,6
98,0.1,0.31,0.5,36,36,34,43,21,35,81,92,93,84,92,93,20,0.1,1,10,6
99,0.1,0.31,0.5,43,25,20,47,35,30,70,91,93,-108,92,95,31,0.1,0,10,6
100,0.1,0.31,0.5,51,30,30,47,33,14,-136,92,93,-109,92,95,37,0.1,0,10,6
101,0.1,0.31,0.5,37,32,33,38,19,30,80,92,93,-113,92,95,21,0.1,0,10,6
102,0.1,0.31,0.5,25,22,18,41,32,24,81,91,93,70,-104,95,31,0.1,0,10,6
103,0.1,0.31,0.5,45,31,31,30,42,15,81,92,93,82,90,95,20,0.1,1,10,6
104,0.1,0.31,0.5,29,28,26,44,15,27,81,92,93,82,92,95,20,0.1,1,10,6
105,0.1,0.31,0.5,38,30,25,37,35,30,81,91,93,80,92,95,21,0.1,1,10,6
106,0.1,0.31,0.5,43,30,28,28,35,19,80,92,93,77,92,92,24,0.1,1,10,6
107,0.1,0.31,0.5,31,29,28,46,16,30,80,92,93,82,92,95,21,0.1,1,10,6
108,0.1,0.31,0.5,40,31,31,36,37,28,83,90,89,80,92,95,21,0.1,1,10,6
109,0.1,0.31,0.5,42,30,32,29,39,16,81,92,93,81,90,95,20,0.1,1,10,6
110,0.1,0.31,0.5,43,27,26,40,17,27,-105,92,93,82,92,95,19,0.1,0,10,6
111,0.1,0.31,0.5,31,28,27,40,36,28,80,92,93,84,92,95,21,0.1,1,10,6
112,0.1,0.31,0.5,37,33,33,29,37,18,81,92,93,80,92,95,21,0.1,1,10,6
113,0.1,0.31,0.5,40,28,27,43,16,25,80,92,93,82,92,95,21,0.1,1,10,6
114,0.1,0.31,0.5,35,29,26,39,35,28,81,92,92,80,92,95,21,0.1,1,10,6
115,0.1,0.31,0.5,37,32,34,30,39,18,77,92,93,82,92,95,24,0.1,1,10,6
116,0.1,0.31,0.5,40,28,28,42,15,27,81,92,91,80,92,95,21,0.1,1,10,6
117,0.1,0.31,0.5,36,33,27,39,35,28,81,90,93,82,92,95,20,0.1,1,10,6
118,0.1,0.31,0.5,36,37,35,30,40,17,81,92,91,82,92,95,20,0.1,1,10,6
119,0.1,0.31,0.5,40,27,30,42,15,25,77,92,91,82,92,95,24,0.1,1,10,6
120,0.1,0.31,0.5,36,28,26,39,37,31,79,92,93,82,90,94,22,0.1,1,10,6
121,0.1,0.31,0.5,37,32,32,31,41,20,79,92,93,80,90,95,22,0.1,1,10,6
122,0.1,0.31,0.5,47,28,30,43,16,24,-121,92,91,82,92,95,22,0.1,0,10,6
123,0.1,0.31,0.5,40,34,26,39,45,27,81,-105,93,76,79,95,25,0.1,0,10,6
124,0.1,0.31,0.5,27,30,32,30,42,19,81,91,93,82,92,95,20,0.1,1,10,6
125,0.1,0.31,0.5,43,29,30,42,16,29,81,92,93,82,92,94,20,0.1,1,10,6
126,0.1,0.31,0.5,40,35,23,39,35,31,81,92,93,82,92,95,20,0.1,1,10,6
127,0.1,0.31,0.5,29,34,34,31,40,21,80,90,93,82,92,95,21,0.1,1,10,6
128,0.1,0.31,0.5,41,26,29,42,41,23,79,92,93,82,-104,95,22,0.1,0,10,6
129,0.1,0.31,0.5,38,33,21,41,16,42,81,92,93,80,92,85,21,0.1,1,10,6
130,0.1,0.31,0.5,32,30,31,31,44,33,81,92,93,82,78,95,23,0.1,1,10,6
131,0.1,0.31,0.5,41,24,28,41,40,24,79,92,93,77,92,90,24,0.1,1,10,6
132,0.1,0.31,0.5,39,33,24,39,19,29,78,92,93,80,91,95,23,0.1,1,10,6
133,0.1,0.31,0.5,31,28,31,31,37,20,80,92,93,82,91,95,21,0.1,1,10,6
134,0.1,0.31,0.5,42,29,29,42,37,24,78,90,93,82,91,95,23,0.1,1,10,6
135,0.1,0.31,0.5,39,38,23,40,17,25,79,92,93,80,92,95,22,0.1,1,10,6
136,0.1,0.31,0.5,33,39,44,32,33,23,73,-102,82,82,92,95,28,0.1,0,10,6
137,0.1,0.31,0.5,42,29,33,42,36,24,81,92,93,82,92,95,20,0.1,1,10,6
138,0.1,0.31,0.5,38,25,23,39,18,24,81,92,93,82,92,95,20,0.1,1,10,6
139,0.1,0.31,0.5,32,33,34,31,36,23,81,92,92,82,92,95,20,0.1,1,10,6
140,0.1,0.31,0.5,42,33,32,42,35,26,80,91,93,79,92,95,22,0.1,1,10,6
141,0.1,0.31,0.5,36,26,22,38,23,22,81,92,93,82,88,95,20,0.1,1,10,6
142,0.1,0.31,0.5,32,33,31,33,40,23,81,92,93,82,92,95,20,0.1,1,10,6
143,0.1,0.31,0.5,43,30,29,42,45,27,81,92,93,80,70,95,31,0.1,1,10,6
144,0.1,0.31,0.5,35,25,23,37,18,22,81,92,93,79,92,95,22,0.1,1,10,6
145,0.1,0.31,0.5,34,33,32,34,36,24,81,92,93,82,92,95,20,0.1,1,10,6
146,0.1,0.31,0.5,42,32,30,42,39,27,79,92,93,82,90,95,22,0.1,1,10,6
